,AVG_INCOME_USD,country,rural_urban,REMESA_AMOUNT_USD,REMESA_AMOUNT_REGPERMONTH,pct_remit_towards_Foodpurchase,pct_remit_towards_Healthexpenses(medicines/medicalconsultation),"pct_remit_towards_ExpensesrelatedtoCOVID-19(protectionsupplies,medicalconsultation,medicines)",pct_remit_towards_Educationexpenses,"pct_remit_towards_Paymentofservices(water,electricity,cable,internet,communication)",pct_remit_towards_Clothesandshoes,pct_remit_towards_Housing(constructionorrepair),pct_remit_towards_Housingrentalfee,pct_remit_towards_Homepurchasefee,pct_remit_towards_Purchaseofagriculturalinputs,pct_remit_towards_Business(trade),pct_remit_towards_Saving,pct_remit_towards_Paymentofcommitmentsofmembersresidingabroad,pct_remit_towards_Paymentofthesender'straveldebt,pct_remit_towards_Paymentofotherdebts,pct_remit_towards_Other
2178,200.0,HND,1,0.5329999999999999,1.0659999999999998,80.0,,,10.0,10.0,,,,,,,,,,,
2186,15.99,HND,2,10.66,10.66,50.0,50.0,,,,,,,,,,,,,,
2187,10.66,HND,2,7.462,0.6218333333333333,50.0,50.0,,,,,,,,,,,,,,
2188,10.66,HND,2,7.462,7.462,50.0,,,,,,30.0,,,,,,,,,20.0
2189,10.66,HND,2,6.396000000000001,1.066,50.0,,,,,,,,,,,,,,,50.0
2193,31.98,HND,1,31.98,31.98,50.0,,,,50.0,,,,,,,,,,,
2205,200.0,SLV,1,50.0,50.0,80.0,,,10.0,10.0,,,,,,,,,,,
2211,100.0,SLV,1,100.0,100.0,100.0,,,,,,,,,,,,,,,
2217,35.0,SLV,1,25.0,8.333333333333334,90.0,,,,10.0,,,,,,,,,,,
2219,300.0,SLV,1,25.0,12.5,75.0,,,,25.0,,,,,,,,,,,
2222,53.3,HND,1,100.0,16.666666666666668,100.0,,,,,,,,,,,,,,,
2224,26.65,HND,1,30.0,60.0,,,,,100.0,,,,,,,,,,,
2246,42.64,HND,1,31.98,31.98,50.0,40.0,,,10.0,,,,,,,,,,,
2302,150.0,SLV,1,150.0,150.0,60.0,,,,40.0,,,,,,,,,,,
2332,90.0,SLV,1,60.0,60.0,80.0,,,,20.0,,,,,,,,,,,
2333,150.0,SLV,1,100.0,100.0,50.0,,,,50.0,,,,,,,,,,,
2334,300.0,SLV,1,200.0,400.0,50.0,50.0,,,,,,,,,,,,,,
2357,300.0,SLV,1,150.0,150.0,,,,33.0,33.0,34.0,,,,,,,,,,
2363,500.0,SLV,1,100.0,16.666666666666668,50.0,50.0,,,,,,,,,,,,,,
2364,500.0,SLV,1,150.0,50.0,100.0,,,,,,,,,,,,,,,
2369,200.0,SLV,1,150.0,25.0,50.0,,,,50.0,,,,,,,,,,,
2379,200.0,SLV,1,50.0,50.0,50.0,25.0,,,25.0,,,,,,,,,,,
2390,500.0,SLV,2,200.0,100.0,75.0,,,,,,,,,,,,,,25.0,
2391,100.0,SLV,2,300.0,300.0,,,,,,,100.0,,,,,,,,,
2392,100.0,SLV,2,125.0,10.416666666666666,80.0,,,,20.0,,,,,,,,,,,
2396,700.0,SLV,2,300.0,150.0,40.0,60.0,,,,,,,,,,,,,,
2399,400.0,SLV,2,300.0,300.0,40.0,30.0,,,30.0,,,,,,,,,,,
2429,200.0,SLV,1,150.0,75.0,50.0,25.0,,,25.0,,,,,,,,,,,
2432,200.0,SLV,1,150.0,150.0,100.0,,,,,,,,,,,,,,,
2438,18.655,HND,1,12.792000000000002,25.584000000000003,100.0,,,,,,,,,,,,,,,
2439,7.995,HND,1,12.792000000000002,12.792000000000002,100.0,,,,,,,,,,,,,,,
2444,42.64,HND,1,10.66,1.7766666666666666,100.0,,,,,,,,,,,,,,,
2445,31.98,HND,1,37.31,74.62,100.0,,,,,,,,,,,,,,,
2446,53.3,HND,1,26.65,53.3,100.0,,,,,,,,,,,,0.0,,,0.0
2448,7.995,HND,1,10.66,0.8883333333333333,100.0,,,,,,,,,,,,,,,
2451,4.264,GT,2,12.259,12.259,25.0,,,75.0,,,,,,,,,,,,
2472,200.0,SLV,1,100.0,100.0,70.0,,,,30.0,,,,,,,,,,,
2477,106.6,HND,2,400.0,400.0,30.0,20.0,,,50.0,,,,,,,,,,,
2490,85.28,HND,2,42.64,85.28,50.0,,,,50.0,,,,,,,,,,,
2496,42.64,HND,2,15.99,5.33,,,,,,,100.0,,,,,,,,,
2513,5.33,GT,2,1.599,1.599,,,,100.0,,,,,,,,,,,,
2514,10.66,GT,2,127.92,127.92,50.0,,,30.0,20.0,,,,,,,,,,,
2519,37.31,GT,2,26.65,26.65,30.0,,,,20.0,,,,,,,,,50.0,,
2520,13.325,GT,2,150.0,50.0,100.0,,,,,,,,,,,,,,,
2523,8.528,GT,2,63.96,63.96,75.0,,,,25.0,,,,,,,,,,,
2524,26.65,GT,2,3.9975,0.66625,75.0,,,,25.0,,,,,,,,,,,
2525,2.132,GT,2,5.33,0.4441666666666666,,75.0,,,25.0,,,,,,,,,,,
2526,15.99,GT,2,5.33,5.33,50.0,25.0,25.0,,,,,,,,,,,,,
2529,26.65,GT,2,10.66,21.32,50.0,25.0,,,25.0,,,,,,,,,,,
2567,15.99,GT,2,3.9975,3.9975,60.0,,,,30.0,10.0,,,,,,,,,,
2568,18.655,GT,2,7.995,7.995,50.0,,,,35.0,15.0,,,,,,,,,,
2577,21.32,HND,1,200.0,400.0,100.0,,,,,,,,,,,,,,,
2598,13.325,GT,2,4.264,2.132,100.0,,,,,,,,,,,,,,,
2599,77.285,HND,2,500.0,1000.0,,,,,,,,,,,,,,,,
2603,10.66,GT,2,3.731,3.731,,,,,,,100.0,,,,,,,,,
2607,10.66,GT,2,7.462000000000001,7.462000000000001,80.0,,,,5.0,,,,,,,,,15.0,,
2611,85.28,HND,2,300.0,300.0,40.0,,,,10.0,,,,,,50.0,,,,,
2625,63.96,HND,2,100.0,200.0,,,,,,,,,,,,,,,,
2639,79.95,HND,2,500.0,500.0,,,,,,,,,,,,,,,,
2674,10.66,HND,1,6.396000000000001,1.066,50.0,,,,25.0,25.0,,,,,,,,,,
2676,10.66,HND,1,10.66,10.66,50.0,,,,,,50.0,,,,,,,,,
2685,15.99,GT,2,7.995,7.995,50.0,25.0,,25.0,,,,,,,,,,,,
2689,47.97,GT,2,5.33,5.33,50.0,50.0,,,,,,,,,,,,,,
2690,47.97,HND,2,6.396000000000001,6.396000000000001,,,,,,,,,,,,,,,,
2696,600.0,HND,2,100.0,430.0,50.0,25.0,,,25.0,,,,,,,,,,,
2734,15.99,HND,1,10.66,10.66,50.0,25.0,,25.0,,,,,,,,,,,,
2737,800.0,HND,2,400.0,800.0,50.0,25.0,,,,,,,,,,25.0,,,,
2738,10.66,HND,2,12.792000000000002,12.792000000000002,50.0,30.0,,,20.0,,,,,,,,,,,
2740,7.995,HND,2,7.462,7.462,100.0,,,,,,,,,,,,,,,
2743,10.66,HND,2,6.929,3.4645,100.0,,,,,,,,,,,,,,,
2744,5.33,HND,2,5.33,0.8883333333333333,50.0,,,,50.0,,,,,,,,,,,
2745,10.66,HND,1,10.66,10.66,100.0,,,,,,,,,,,,,,,
2748,10.66,HND,1,10.66,10.66,30.0,,,,,,,,,,,,,,,70.0
2752,10.66,HND,1,7.995,2.665,50.0,30.0,,,20.0,,,,,,,,,,,
2753,10.66,HND,1,10.66,3.553333333333333,,100.0,,,,,,,,,,,,,,
2755,10.66,HND,2,10.66,10.66,50.0,30.0,,,20.0,,,,,,,,,,,
2763,79.95,HND,2,74.62,74.62,,,,,,,,,,,,,,,,
2768,31.98,HND,2,31.98,31.98,50.0,20.0,,30.0,,,,,,,,,,,,
2832,800.0,SLV,1,100.0,50.0,50.0,,,,40.0,10.0,,,,,,,,,,
2839,600.0,SLV,1,200.0,66.66666666666667,100.0,,,,,,,,,,,,,,,
2851,100.0,SLV,1,50.0,8.333333333333334,,100.0,,,,,,,,,,,,,,
2893,26.65,HND,1,4.797,2.3985,50.0,,50.0,,,,,,,,,,,,,
2899,29.315,HND,2,15.99,31.98,,,,,,,,,,,,,,,,
2914,300.0,SLV,1,75.0,75.0,,,,,,,,,,,,,,,,
2932,250.0,SLV,2,70.0,70.0,100.0,,,,,,,,,,,,,,,
2938,200.0,SLV,1,100.0,100.0,100.0,,,,,,,,,,,,,,,
2942,150.0,SLV,1,100.0,100.0,100.0,,,,,,,,,,,,,,,
2945,150.0,SLV,1,100.0,33.333333333333336,50.0,,,,50.0,,,,,,,,,,,
2949,700.0,SLV,1,200.0,200.0,50.0,30.0,,,,20.0,,,,,,,,,,
2950,400.0,SLV,1,250.0,250.0,60.0,,,20.0,20.0,,,,,,,,,,,
2956,200.0,SLV,1,200.0,400.0,60.0,,,,40.0,,,,,,,,,,,
2965,200.0,SLV,1,200.0,200.0,100.0,,,,,,,,,,,,,,,
2969,350.0,SLV,1,200.0,66.66666666666667,,,,,,,,,,,,,,,,
2984,10.66,HND,1,7.995,0.66625,,,,,,,,,,,,,,,,
2989,39.975,HND,2,75.0,150.0,100.0,,,,,,,,,,,,,,,
2993,53.3,HND,1,250.0,83.33333333333333,70.0,30.0,,,,,,,,,,,,,,
2998,115.0,SLV,2,50.0,215.0,70.0,,,20.0,10.0,,,,,,,,,,,
3001,50.0,SLV,1,200.0,33.333333333333336,20.0,60.0,,,20.0,,,,,,,,,,,
3004,63.0,SLV,1,50.0,25.0,30.0,,,,70.0,,,,,,,,,,,
3007,15.99,HND,1,3.731,0.6218333333333333,100.0,,,,,,,,,,,,,,,
3020,15.99,HND,1,10.66,0.8883333333333333,,,,,,,,,,,,,,,,
3021,31.98,HND,1,15.99,7.995,50.0,25.0,,25.0,,,,,,,,,,,,
3046,15.99,GT,2,50.0,25.0,50.0,,,,,,,,,,,,,,,50.0
3055,7.462000000000001,GT,1,3.9975,1.99875,50.0,50.0,,,,,,,,,,,,,,
3073,53.3,GT,2,3.98151,1.32717,50.0,,,,,50.0,,,,,,,,,,
3075,1000.0,GT,1,500.0,250.0,25.0,,,,25.0,,50.0,,,,,,,,,
3076,10.66,GT,1,7.462000000000001,7.462000000000001,50.0,,,,25.0,,25.0,,,,,,,,,
3077,1.99875,GT,1,1.98809,1.98809,100.0,,,,,,,,,,,,,,,
3080,21.32,GT,2,10.66,21.32,50.0,,,25.0,25.0,,,,,,,,,,,
3109,8.528,GT,2,7.995,3.9975,30.0,70.0,,,,,,,,,,,,,,
3110,15.99,GT,2,10.66,3.553333333333333,50.0,30.0,,,20.0,,,,,,,,,,,
3113,15.99,GT,2,18.655,18.655,50.0,,,,30.0,20.0,,,,,,,,,,
3115,26.65,GT,2,200.0,200.0,50.0,,,,25.0,25.0,,,,,,,,,,
3118,31.98,GT,2,200.0,100.0,,,,,,,,,,,,,,,,
3131,10.66,HND,1,6.396000000000001,6.396000000000001,100.0,,,,,,,,,,,,,,,
3135,10.66,GT,1,7.995,2.665,80.0,,,,20.0,,,,,,,,,,,
3137,10.66,GT,1,7.462000000000001,2.4873333333333334,,100.0,,,,,,,,,,,,,,
3138,7.462000000000001,GT,1,7.462000000000001,3.731,50.0,50.0,,,,,,,,,,,,,,
3139,10.66,GT,1,7.995,7.995,25.0,,,,75.0,,,,,,,,,,,
3141,4.264,GT,1,4.1041,2.05205,10.0,70.0,,,20.0,,,,,,,,,,,
3143,74.62,GT,1,7.995,3.9975,50.0,,,,30.0,,,,,,,,,,,20.0
3145,7.995,GT,1,15.99,7.995,50.0,30.0,,,20.0,,,,,,,,,,,
