Household,avg_income_usd,country,rural_urban,remesa_amount_usd,monthly_remesa_amount,Food,Health,COVID_19,Education,Utilities,ClothesandShoes,Housing,HousingRental,HomePurchase,AgriculturalInputs,BusinessVentures,Saving,MigantsComittments,MigrationLoanDebt,OtherDebts,Other,Tsum_check
179,200.0,SLV,1,150.0,150.0,80.0,20.0,,,,,,,,,,,,,,,100.0
180,150.0,SLV,1,75.0,75.0,50.0,50.0,,,,,,,,,,,,,,,100.0
181,300.0,SLV,1,60.0,60.0,45.0,15.0,,,40.0,,,,,,,,,,,,100.0
182,570.0,SLV,1,300.0,100.0,,,,75.0,25.0,,,,,,,,,,,,100.0
183,300.0,SLV,2,300.0,300.0,70.0,,,,30.0,,,,,,,,,,,,100.0
184,200.0,SLV,1,50.0,25.0,50.0,,,,50.0,,,,,,,,,,,,100.0
185,5.33,GT,1,3.9975,3.9975,60.0,,,,,40.0,,,,,,,,,,,100.0
186,300.0,SLV,1,30.0,10.0,80.0,20.0,,,,,,,,,,,,,,,100.0
187,100.0,SLV,1,70.0,5.833333333333333,100.0,,,,,,,,,,,,,,,,100.0
188,250.0,SLV,1,50.0,25.0,100.0,,,,,,,,,,,,,,,,100.0
189,250.0,SLV,1,50.0,25.0,,100.0,,,,,,,,,,,,,,,100.0
190,180.0,SLV,1,50.0,50.0,100.0,,,,,,,,,,,,,,,,100.0
191,500.0,SLV,1,100.0,100.0,,100.0,,,,,,,,,,,,,,,100.0
192,500.0,SLV,1,200.0,66.66666666666667,60.0,20.0,,,20.0,,,,,,,,,,,,100.0
193,300.0,SLV,1,100.0,100.0,50.0,50.0,,,,,,,,,,,,,,,100.0
194,250.0,SLV,1,0.26649999999999996,0.26649999999999996,20.0,80.0,,,,,,,,,,,,,,,100.0
195,18.655,GT,1,0.7995,0.7995,80.0,10.0,,,,10.0,,,,,,,,,,,100.0
196,10.66,GT,1,28.782,28.782,50.0,,,,50.0,,,,,,,,,,,,100.0
197,3.7310000000000003,GT,1,1.599,0.2665,75.0,,,,25.0,,,,,,,,,,,,100.0
198,15.99,GT,1,7.995,2.665,15.0,75.0,,,10.0,,,,,,,,,,,,100.0
199,15.99,GT,1,11.193,3.731,80.0,10.0,,,10.0,,,,,,,,,,,,100.0
200,53.300000000000004,HND,1,53.300000000000004,53.300000000000004,50.0,20.0,,,,,,30.0,,,,,,,,,100.0
201,27.716,GT,1,100.0,100.0,60.0,,,,40.0,,,,,,,,,,,,100.0
202,42.64,GT,1,1000.0,2000.0,50.0,,,,25.0,25.0,,,,,,,,,,,100.0
203,7.995,HND,1,13.325000000000001,13.325000000000001,60.0,10.0,,,,,,,,,30.0,,,,,,100.0
204,5.33,HND,1,10.66,10.66,50.0,25.0,25.0,,,,,,,,,,,,,,100.0
205,15.457,GT,1,5.33,2.665,100.0,,,,,,,,,,,,,,,,100.0
206,34.645,GT,1,37.31,74.62,40.0,,,,,,,,,,,20.0,,40.0,,,100.0
207,26.650000000000002,GT,1,26.650000000000002,26.650000000000002,25.0,,,,,,50.0,,,,,,,25.0,,,100.0
208,69.29,HND,1,230.0,230.0,70.0,,,,25.0,,,,,,,,,,,5.0,100.0
209,85.28,HND,1,120.0,20.0,60.0,,,20.0,20.0,,,,,,,,,,,,100.0
210,58.63,HND,1,100.0,200.0,80.0,10.0,,,10.0,,,,,,,,,,,,100.0
211,106.60000000000001,HND,2,79.95,159.9,70.0,15.0,,,15.0,,,,,,,,,,,,100.0
212,1000.0,HND,1,1000.0,4300.0,60.0,10.0,,,30.0,,,,,,,,,,,,100.0
213,10.66,GT,1,3.9975,3.9975,70.0,30.0,,,,,,,,,,,,,,,100.0
214,10.66,GT,1,19.721,19.721,25.0,50.0,,,25.0,,,,,,,,,,,,100.0
215,5.33,GT,1,3.9975,3.9975,50.0,,,,50.0,,,,,,,,,,,,100.0
216,53.300000000000004,GT,1,600.0,1200.0,50.0,,,,20.0,,,,,,,30.0,,,,,100.0
217,15.99,GT,1,10.66,10.66,50.0,,,,30.0,20.0,,,,,,,,,,,100.0
218,15.99,GT,1,10.66,10.66,60.0,,,,30.0,10.0,,,,,,,,,,,100.0
219,21.32,GT,2,42.64,183.352,50.0,,,,,,50.0,,,,,,,,,,100.0
220,15.99,GT,2,5.33,5.33,50.0,,,,,,,,,,,,,50.0,,,100.0
221,15.99,HND,1,15.99,7.995,80.0,20.0,,,,,,,,,,,,,,,100.0
222,26.650000000000002,HND,1,200.0,200.0,50.0,50.0,,,,,,,,,,,,,,,100.0
223,23.985,GT,2,5.33,2.665,100.0,,,,,,,,,,,,,,,,100.0
224,31.98,HND,1,10.66,3.5533333333333332,70.0,,,,,,,,,,,,,,30.0,,100.0
225,53.300000000000004,GT,2,1000.0,2000.0,,15.0,,,,,,,,,,35.0,,50.0,,,100.0
226,47.97,GT,2,400.0,800.0,70.0,10.0,,,20.0,,,,,,,,,,,,100.0
227,13.325000000000001,GT,2,1.99875,1.99875,50.0,,,,30.0,20.0,,,,,,,,,,,100.0
228,14.924000000000001,GT,1,149.24,149.24,80.0,,,,,20.0,,,,,,,,,,,100.0
229,53.300000000000004,GT,1,53.300000000000004,53.300000000000004,40.0,25.0,,,,,35.0,,,,,,,,,,100.0
230,15.99,GT,2,3.7310000000000003,0.6218333333333333,50.0,,,,50.0,,,,,,,,,,,,100.0
231,37.31,GT,2,15.99,15.99,75.0,,25.0,,,,,,,,,,,,,,100.0
232,346.45,GT,2,319.8,319.8,30.0,70.0,,,,,,,,,,,,,,,100.0
233,53.300000000000004,GT,2,31.98,31.98,,,,,,,75.0,,,25.0,,,,,,,100.0
234,15.99,GT,1,300.0,600.0,70.0,,,15.0,15.0,,,,,,,,,,,,100.0
235,47.97,GT,1,350.0,350.0,75.0,,,,25.0,,,,,,,,,,,,100.0
236,11.726,GT,1,150.0,300.0,50.0,25.0,,,25.0,,,,,,,,,,,,100.0
237,18.655,GT,1,18.655,18.655,60.0,,,,20.0,20.0,,,,,,,,,,,100.0
238,15.99,GT,1,7.995,7.995,60.0,,,,20.0,20.0,,,,,,,,,,,100.0
239,7.7285,GT,2,3.9975,0.333125,75.0,,,,25.0,,,,,,,,,,,,100.0
240,42.64,GT,1,7.995,1.3325,50.0,25.0,,,25.0,,,,,,,,,,,,100.0
241,200.0,HND,1,0.5329999999999999,1.0659999999999998,80.0,,,10.0,10.0,,,,,,,,,,,,100.0
242,15.99,HND,2,10.66,10.66,50.0,50.0,,,,,,,,,,,,,,,100.0
243,10.66,HND,2,7.462,0.6218333333333333,50.0,50.0,,,,,,,,,,,,,,,100.0
244,10.66,HND,2,7.462,7.462,50.0,,,,,,30.0,,,,,,,,,20.0,100.0
245,10.66,HND,2,6.396000000000001,1.066,50.0,,,,,,,,,,,,,,,50.0,100.0
246,31.98,HND,1,31.98,31.98,50.0,,,,50.0,,,,,,,,,,,,100.0
247,200.0,SLV,1,50.0,50.0,80.0,,,10.0,10.0,,,,,,,,,,,,100.0
248,100.0,SLV,1,100.0,100.0,100.0,,,,,,,,,,,,,,,,100.0
249,35.0,SLV,1,25.0,8.333333333333334,90.0,,,,10.0,,,,,,,,,,,,100.0
250,300.0,SLV,1,25.0,12.5,75.0,,,,25.0,,,,,,,,,,,,100.0
251,53.300000000000004,HND,1,100.0,16.666666666666668,100.0,,,,,,,,,,,,,,,,100.0
252,26.650000000000002,HND,1,30.0,60.0,,,,,100.0,,,,,,,,,,,,100.0
253,42.64,HND,1,31.98,31.98,50.0,40.0,,,10.0,,,,,,,,,,,,100.0
254,150.0,SLV,1,150.0,150.0,60.0,,,,40.0,,,,,,,,,,,,100.0
255,90.0,SLV,1,60.0,60.0,80.0,,,,20.0,,,,,,,,,,,,100.0
256,150.0,SLV,1,100.0,100.0,50.0,,,,50.0,,,,,,,,,,,,100.0
257,300.0,SLV,1,200.0,400.0,50.0,50.0,,,,,,,,,,,,,,,100.0
258,300.0,SLV,1,150.0,150.0,,,,33.0,33.0,34.0,,,,,,,,,,,100.0
259,500.0,SLV,1,100.0,16.666666666666668,50.0,50.0,,,,,,,,,,,,,,,100.0
260,500.0,SLV,1,150.0,50.0,100.0,,,,,,,,,,,,,,,,100.0
261,200.0,SLV,1,150.0,25.0,50.0,,,,50.0,,,,,,,,,,,,100.0
262,200.0,SLV,1,50.0,50.0,50.0,25.0,,,25.0,,,,,,,,,,,,100.0
263,500.0,SLV,2,200.0,100.0,75.0,,,,,,,,,,,,,,25.0,,100.0
264,100.0,SLV,2,300.0,300.0,,,,,,,100.0,,,,,,,,,,100.0
265,100.0,SLV,2,125.0,10.416666666666666,80.0,,,,20.0,,,,,,,,,,,,100.0
266,700.0,SLV,2,300.0,150.0,40.0,60.0,,,,,,,,,,,,,,,100.0
267,400.0,SLV,2,300.0,300.0,40.0,30.0,,,30.0,,,,,,,,,,,,100.0
268,200.0,SLV,1,150.0,75.0,50.0,25.0,,,25.0,,,,,,,,,,,,100.0
269,200.0,SLV,1,150.0,150.0,100.0,,,,,,,,,,,,,,,,100.0
270,18.655,HND,1,12.792000000000002,25.584000000000003,100.0,,,,,,,,,,,,,,,,100.0
271,7.995,HND,1,12.792000000000002,12.792000000000002,100.0,,,,,,,,,,,,,,,,100.0
272,42.64,HND,1,10.66,1.7766666666666666,100.0,,,,,,,,,,,,,,,,100.0
273,31.98,HND,1,37.31,74.62,100.0,,,,,,,,,,,,,,,,100.0
274,53.300000000000004,HND,1,26.650000000000002,53.300000000000004,100.0,,,,,,,,,,,,0.0,,,0.0,100.0
275,7.995,HND,1,10.66,0.8883333333333333,100.0,,,,,,,,,,,,,,,,100.0
276,4.264,GT,2,12.259,12.259,25.0,,,75.0,,,,,,,,,,,,,100.0
277,200.0,SLV,1,100.0,100.0,70.0,,,,30.0,,,,,,,,,,,,100.0
278,106.60000000000001,HND,2,400.0,400.0,30.0,20.0,,,50.0,,,,,,,,,,,,100.0
279,85.28,HND,2,42.64,85.28,50.0,,,,50.0,,,,,,,,,,,,100.0
280,42.64,HND,2,15.99,5.33,,,,,,,100.0,,,,,,,,,,100.0
281,5.33,GT,2,1.599,1.599,,,,100.0,,,,,,,,,,,,,100.0
282,10.66,GT,2,127.92,127.92,50.0,,,30.0,20.0,,,,,,,,,,,,100.0
283,37.31,GT,2,26.650000000000002,26.650000000000002,30.0,,,,20.0,,,,,,,,,50.0,,,100.0
284,13.325000000000001,GT,2,150.0,50.0,100.0,,,,,,,,,,,,,,,,100.0
285,8.528,GT,2,63.96,63.96,75.0,,,,25.0,,,,,,,,,,,,100.0
286,26.650000000000002,GT,2,3.9975,0.66625,75.0,,,,25.0,,,,,,,,,,,,100.0
287,2.132,GT,2,5.33,0.44416666666666665,,75.0,,,25.0,,,,,,,,,,,,100.0
288,15.99,GT,2,5.33,5.33,50.0,25.0,25.0,,,,,,,,,,,,,,100.0
289,26.650000000000002,GT,2,10.66,21.32,50.0,25.0,,,25.0,,,,,,,,,,,,100.0
290,15.99,GT,2,3.9975,3.9975,60.0,,,,30.0,10.0,,,,,,,,,,,100.0
291,18.655,GT,2,7.995,7.995,50.0,,,,35.0,15.0,,,,,,,,,,,100.0
292,21.32,HND,1,200.0,400.0,100.0,,,,,,,,,,,,,,,,100.0
293,13.325000000000001,GT,2,4.264,2.132,100.0,,,,,,,,,,,,,,,,100.0
294,10.66,GT,2,3.7310000000000003,3.7310000000000003,,,,,,,100.0,,,,,,,,,,100.0
295,10.66,GT,2,7.462000000000001,7.462000000000001,80.0,,,,5.0,,,,,,,,,15.0,,,100.0
296,85.28,HND,2,300.0,300.0,40.0,,,,10.0,,,,,,50.0,,,,,,100.0
297,10.66,HND,1,6.396000000000001,1.066,50.0,,,,25.0,25.0,,,,,,,,,,,100.0
298,10.66,HND,1,10.66,10.66,50.0,,,,,,50.0,,,,,,,,,,100.0
